,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,0.0475088203035,0.00664980447823,3164636.5,24,1,0,1
1,0.031623,Alpelisib,nuclear,-0.223227348604,4.86914939084e-16,2704568.5,24,1.64E-13,1,2
2,0.1,Alpelisib,nuclear,0.0899354129228,8.01452507429e-08,2707653.0,24,2.69E-05,2,3
3,0.31623,Alpelisib,nuclear,-0.316424160658,1.39604331719e-24,2276067.0,24,4.69E-22,3,4
4,1.0,Alpelisib,nuclear,-1.24306942776,8.23144098083e-197,1050069.5,24,2.77E-194,4,5
5,3.1623,Alpelisib,nuclear,-1.14604599636,5.43051161716e-160,918973.0,24,1.82E-157,5,6
6,10.0,Alpelisib,nuclear,-0.201372327814,9.17885250494e-10,2036468.5,24,3.08E-07,6,7
7,0.01,Alpelisib,nuclear,-0.0523302237158,0.0935913278643,38173500.5,48,1,7,8
8,0.031623,Alpelisib,nuclear,-0.260614635869,1.56612460166e-25,32621527.0,48,5.26E-23,8,9
9,0.1,Alpelisib,nuclear,-0.0208703272667,0.180274692199,35087887.5,48,1,9,10
10,0.31623,Alpelisib,nuclear,-0.0578290539558,0.0521569152288,27936433.0,48,1,10,11
11,1.0,Alpelisib,nuclear,0.150790681365,9.61031311855e-08,20543543.0,48,3.23E-05,11,12
12,3.1623,Alpelisib,nuclear,0.074987503824,0.00160037827923,15355489.0,48,5.38E-01,12,13
13,10.0,Alpelisib,nuclear,0.431701330528,4.79273666923e-43,7524910.5,48,1.61E-40,13,14
14,0.01,Alpelisib,nuclear,0.186945154869,2.02387606778e-212,304156473.0,72,6.80E-210,14,15
15,0.031623,Alpelisib,nuclear,-0.214946869886,3.74331519864e-237,232588633.5,72,1.26E-234,15,16
16,0.1,Alpelisib,nuclear,-0.00308946667639,0.128776806875,260961735.0,72,1,16,17
17,0.31623,Alpelisib,nuclear,0.164807330534,1.73983459423e-86,221555445.0,72,5.85E-84,17,18
18,1.0,Alpelisib,nuclear,-0.0425622428046,2.94699134064e-08,219413641.0,72,9.90E-06,18,19
19,3.1623,Alpelisib,nuclear,-0.0994752056269,1.04396296337e-12,174147414.0,72,3.51E-10,19,20
20,10.0,Alpelisib,nuclear,0.0594723465334,1.12675384536e-19,55999475.5,72,3.79E-17,20,21
21,0.01,Dasatinib,nuclear,0.125406989553,2.33390639067e-09,3422064.5,24,7.84E-07,0,1
22,0.031623,Dasatinib,nuclear,-3.71656485792,1.74978095298e-193,2239754.0,24,5.88E-191,1,2
23,0.1,Dasatinib,nuclear,-0.510676723768,8.92868205246e-43,1184007.0,24,3.00E-40,2,3
24,0.31623,Dasatinib,nuclear,0.689356962592,1.1835642157e-56,1035207.0,24,3.98E-54,3,4
25,1.0,Dasatinib,nuclear,-0.310846048841,3.72948703563e-10,684049.0,24,1.25E-07,4,5
26,3.1623,Dasatinib,nuclear,1.17519699248,4.67893810203e-92,360498.0,24,1.57E-89,5,6
27,10.0,Dasatinib,nuclear,1.16544739556,5.3529121625e-33,333451.0,24,1.80E-30,6,7
28,0.01,Dasatinib,nuclear,-0.0199086726817,0.432138293645,37362456.5,48,1,7,8
29,0.031623,Dasatinib,nuclear,0.609997605818,1.08123663046e-218,16381713.5,48,3.63E-216,8,9
30,0.1,Dasatinib,nuclear,0.509052047153,1.47364376194e-113,9223155.5,48,4.95E-111,9,10
31,0.31623,Dasatinib,nuclear,1.6948653859,0.0,1895229.0,48,0.00E+00,10,11
32,1.0,Dasatinib,nuclear,1.13346899956,1.95579043036e-203,1942398.5,48,6.57E-201,11,12
33,3.1623,Dasatinib,nuclear,2.35917358874,3.77314900487e-226,120943.0,48,1.27E-223,12,13
34,10.0,Dasatinib,nuclear,2.04548193129,4.36141210088e-32,226330.0,48,1.47E-29,13,14
35,0.01,Dasatinib,nuclear,0.110518225576,6.63330346533e-68,190884883.0,72,2.23E-65,14,15
36,0.031623,Dasatinib,nuclear,0.366250271895,0.0,141512984.0,72,0.00E+00,15,16
37,0.1,Dasatinib,nuclear,1.11307172312,0.0,41489833.5,72,0.00E+00,16,17
38,0.31623,Dasatinib,nuclear,2.02570604756,0.0,5521520.5,72,0.00E+00,17,18
39,1.0,Dasatinib,nuclear,2.41446924535,1.71700787592e-277,5306100.0,72,5.77E-275,18,19
40,3.1623,Dasatinib,nuclear,-4.11660830837,4.03400099404e-58,8238560.5,72,1.36E-55,19,20
41,10.0,Dasatinib,nuclear,-4.34101208986,5.81609428487e-288,2735342.5,72,1.95E-285,20,21
42,0.01,Etoposide,nuclear,-0.188853353711,3.96256026176e-11,2894695.5,24,1.33E-08,0,1
43,0.031623,Etoposide,nuclear,0.202617232277,7.80168850584e-17,3190748.0,24,2.62E-14,1,2
44,0.1,Etoposide,nuclear,-1.08508637002,9.25588999278e-216,1045448.5,24,3.11E-213,2,3
45,0.31623,Etoposide,nuclear,0.170058669313,2.63614498434e-10,2239201.5,24,8.86E-08,3,4
46,1.0,Etoposide,nuclear,0.113298369874,7.74176575946e-05,1409841.0,24,2.60E-02,4,5
47,3.1623,Etoposide,nuclear,0.29839978403,3.50490793025e-21,1192677.0,24,1.18E-18,5,6
48,10.0,Etoposide,nuclear,-0.513489535278,1.32427695053e-20,867033.5,24,4.45E-18,6,7
49,0.01,Etoposide,nuclear,-0.0534516329404,0.0502813883674,33470915.0,48,1,7,8
50,0.031623,Etoposide,nuclear,0.0737980131731,0.000420564801162,30896610.0,48,1.41E-01,8,9
51,0.1,Etoposide,nuclear,-0.121362018815,6.52711974119e-21,19284092.0,48,2.19E-18,9,10
52,0.31623,Etoposide,nuclear,0.424865645863,1.02310914791e-91,12097619.0,48,3.44E-89,10,11
53,1.0,Etoposide,nuclear,0.467599243789,5.30621282102e-27,4561269.0,48,1.78E-24,11,12
54,3.1623,Etoposide,nuclear,0.715302541784,8.92065964296e-48,3080926.5,48,3.00E-45,12,13
55,10.0,Etoposide,nuclear,0.478999874863,1.15807515061e-20,2957851.5,48,3.89E-18,13,14
56,0.01,Etoposide,nuclear,0.0359821565355,3.3537518782e-06,280291983.0,72,1.13E-03,14,15
57,0.031623,Etoposide,nuclear,-0.179820211946,1.4421087659e-147,218400807.5,72,4.85E-145,15,16
58,0.1,Etoposide,nuclear,0.200253938856,4.69360997658e-95,149977463.0,72,1.58E-92,16,17
59,0.31623,Etoposide,nuclear,0.356420534737,9.79313578058e-124,61564589.5,72,3.29E-121,17,18
60,1.0,Etoposide,nuclear,0.591050721725,5.77244319673e-66,13622822.0,72,1.94E-63,18,19
61,3.1623,Etoposide,nuclear,0.807098556307,1.63325039941e-70,7776971.0,72,5.49E-68,19,20
62,10.0,Etoposide,nuclear,-4.34247827505,0.0,17467948.5,72,0.00E+00,20,21
63,0.001,Neratinib,nuclear,-0.588009003842,5.39368846415e-110,2162487.0,24,1.81E-107,0,1
64,0.0032,Neratinib,nuclear,0.198808016254,1.32255108913e-27,3243738.0,24,4.44E-25,1,2
65,0.01,Neratinib,nuclear,-1.31127893784,3.96506605242e-228,856453.5,24,1.33E-225,2,3
66,0.031623,Neratinib,nuclear,-1.36098093147,3.41245145245e-198,834273.5,24,1.15E-195,3,4
67,0.1,Neratinib,nuclear,-0.181084752423,6.57647261766e-09,2201867.0,24,2.21E-06,4,5
68,0.31623,Neratinib,nuclear,0.171696138786,9.57644651818e-10,1989556.0,24,3.22E-07,5,6
69,1.0,Neratinib,nuclear,-0.00542990046923,0.028536665103,1971193.0,24,1,6,7
70,0.001,Neratinib,nuclear,0.0354688674847,0.00506396233487,31209431.0,48,1,7,8
71,0.0032,Neratinib,nuclear,-0.121711044536,1.35448243532e-16,40448404.5,48,4.55E-14,8,9
72,0.01,Neratinib,nuclear,-0.542473798772,8.75421258104e-133,20235618.0,48,2.94E-130,9,10
73,0.031623,Neratinib,nuclear,-0.637946512482,1.6458068662e-111,14264426.5,48,5.53E-109,10,11
74,0.1,Neratinib,nuclear,0.385509099216,9.94497478117e-50,10017201.5,48,3.34E-47,11,12
75,0.31623,Neratinib,nuclear,1.13144961969,1.80311678454e-268,2602875.0,48,6.06E-266,12,13
76,1.0,Neratinib,nuclear,1.03157504748,2.51411852624e-206,2670882.0,48,8.45E-204,13,14
77,0.001,Neratinib,nuclear,-0.191441383226,5.15091658638e-260,265318116.5,72,1.73E-257,14,15
78,0.0032,Neratinib,nuclear,0.0239804167927,2.98942931633e-05,368885168.0,72,1.00E-02,15,16
79,0.01,Neratinib,nuclear,-0.169079025541,1.63313574181e-134,240026487.5,72,5.49E-132,16,17
80,0.031623,Neratinib,nuclear,-0.252303504777,5.48737661015e-179,149812691.5,72,1.84E-176,17,18
81,0.1,Neratinib,nuclear,0.475849224598,9.68836260204e-297,57954994.5,72,3.26E-294,18,19
82,0.31623,Neratinib,nuclear,1.87641150837,0.0,4789614.0,72,0.00E+00,19,20
83,1.0,Neratinib,nuclear,1.39941405383,9.22364423791e-136,4857026.5,72,3.10E-133,20,21
84,0.0001,Paclitaxel,nuclear,-0.929421992754,7.1191652702e-169,1648156.0,24,2.39E-166,0,1
85,0.00032,Paclitaxel,nuclear,-0.00770437338484,0.132994639688,3039416.0,24,1,1,2
86,0.001,Paclitaxel,nuclear,0.120251322373,3.56343247458e-08,2496076.0,24,1.20E-05,2,3
87,0.0031623,Paclitaxel,nuclear,0.261818936624,3.01810166958e-14,1996741.0,24,1.01E-11,3,4
88,0.01,Paclitaxel,nuclear,0.812603739606,1.97669302386e-99,647505.0,24,6.64E-97,4,5
89,0.031623,Paclitaxel,nuclear,-5.47004274317,0.0,1082727.0,24,0.00E+00,5,6
90,0.1,Paclitaxel,nuclear,1.00774966938,3.44978799313e-32,340996.0,24,1.16E-29,6,7
91,0.0001,Paclitaxel,nuclear,-0.164810608228,2.01528620287e-27,27095230.0,48,6.77E-25,7,8
92,0.00032,Paclitaxel,nuclear,-0.183686376964,3.5825564333e-24,30654743.5,48,1.20E-21,8,9
93,0.001,Paclitaxel,nuclear,0.210775303518,1.73551872628e-27,19840284.5,48,5.83E-25,9,10
94,0.0031623,Paclitaxel,nuclear,0.964776945344,9.43200216211e-126,5361719.5,48,3.17E-123,10,11
95,0.01,Paclitaxel,nuclear,1.62484051017,4.78728629952e-260,376815.0,48,1.61E-257,11,12
96,0.031623,Paclitaxel,nuclear,1.82172520748,6.18285913993e-76,244529.0,48,2.08E-73,12,13
97,0.1,Paclitaxel,nuclear,2.04985036185,8.40061282191e-55,65771.0,48,2.82E-52,13,14
98,0.0001,Paclitaxel,nuclear,-0.0568521451323,1.66614448137e-22,298742104.0,72,5.60E-20,14,15
99,0.00032,Paclitaxel,nuclear,0.0642002403531,2.69543413493e-21,337654026.5,72,9.06E-19,15,16
100,0.001,Paclitaxel,nuclear,0.121967557011,5.33249482633e-71,135632326.0,72,1.79E-68,16,17
101,0.0031623,Paclitaxel,nuclear,0.926071266335,3.37043171397e-104,4709377.0,72,1.13E-101,17,18
102,0.01,Paclitaxel,nuclear,0.474488602639,0.353044353469,14577745.0,72,1,18,19
103,0.031623,Paclitaxel,nuclear,-4.24449324244,0.0,6083326.5,72,0.00E+00,19,20
104,0.1,Paclitaxel,nuclear,-4.19253532714,0.0,3045787.5,72,0.00E+00,20,21
105,0.01,Palbociclib,nuclear,-0.215142026918,8.38580939286e-09,2687522.0,24,2.82E-06,0,1
106,0.031623,Palbociclib,nuclear,-0.497197901654,2.28332609174e-53,2556139.5,24,7.67E-51,1,2
107,0.1,Palbociclib,nuclear,0.145572601663,3.6831789385e-09,2246786.0,24,1.24E-06,2,3
108,0.31623,Palbociclib,nuclear,0.0709957583732,1.99316547423e-05,2530668.0,24,6.70E-03,3,4
109,1.0,Palbociclib,nuclear,-0.224773706105,4.64552259861e-10,1570159.0,24,1.56E-07,4,5
110,3.1623,Palbociclib,nuclear,-0.54953660705,5.99539356933e-35,1660323.0,24,2.01E-32,5,6
111,10.0,Palbociclib,nuclear,0.149627590388,3.04050586157e-11,2297635.0,24,1.02E-08,6,7
112,0.01,Palbociclib,nuclear,-0.271850491356,2.46331254439e-45,32346289.0,48,8.28E-43,7,8
113,0.031623,Palbociclib,nuclear,-0.0985348904896,0.000325557611709,33894487.0,48,1.09E-01,8,9
114,0.1,Palbociclib,nuclear,0.196404128166,1.26528255497e-26,25364348.0,48,4.25E-24,9,10
115,0.31623,Palbociclib,nuclear,0.0346177054649,0.0548195618493,29262351.0,48,1,10,11
116,1.0,Palbociclib,nuclear,0.389544456599,7.24448102259e-75,11717031.5,48,2.43E-72,11,12
117,3.1623,Palbociclib,nuclear,0.531239064877,2.20677747667e-97,7610610.0,48,7.41E-95,12,13
118,10.0,Palbociclib,nuclear,0.787134852857,3.82143701306e-197,5636890.5,48,1.28E-194,13,14
119,0.01,Palbociclib,nuclear,-0.00645806753939,2.94343857455e-10,261097180.5,72,9.89E-08,14,15
120,0.031623,Palbociclib,nuclear,0.0925087360911,7.24405991379e-55,335294408.5,72,2.43E-52,15,16
121,0.1,Palbociclib,nuclear,-0.0842284802692,1.34807822045e-19,225627145.5,72,4.53E-17,16,17
122,0.31623,Palbociclib,nuclear,-0.0283346873526,0.098863082805,204617491.0,72,1,17,18
123,1.0,Palbociclib,nuclear,-0.0105319093454,0.00067815981096,141742410.0,72,2.28E-01,18,19
124,3.1623,Palbociclib,nuclear,0.259284345585,2.54824999396e-136,78088991.5,72,8.56E-134,19,20
125,10.0,Palbociclib,nuclear,0.659932995868,8.18615430354e-206,38162581.0,72,2.75E-203,20,21
126,0.0003,Trametinib,nuclear,-0.565260436457,9.27852254823e-64,2138107.0,24,3.12E-61,0,1
127,0.001,Trametinib,nuclear,-0.432969859205,5.57424106811e-51,2247604.0,24,1.87E-48,1,2
128,0.0031623,Trametinib,nuclear,-0.679098674036,1.71971301738e-70,2015347.0,24,5.78E-68,2,3
129,0.01,Trametinib,nuclear,-0.713587718766,2.23427920469e-72,1664998.5,24,7.51E-70,3,4
130,0.031623,Trametinib,nuclear,-0.649261517134,3.73189421484e-72,1741215.0,24,1.25E-69,4,5
131,0.1,Trametinib,nuclear,-0.303467771861,3.55069992297e-16,1902706.0,24,1.19E-13,5,6
132,0.31623,Trametinib,nuclear,-0.483535615612,8.51983987024e-46,2032649.0,24,2.86E-43,6,7
133,0.0003,Trametinib,nuclear,-0.77322002377,1.66068745786e-301,20780559.0,48,5.58E-299,7,8
134,0.001,Trametinib,nuclear,-0.613657260039,1.58298765608e-113,19017462.5,48,5.32E-111,8,9
135,0.0031623,Trametinib,nuclear,-0.101070809204,0.350409880747,16996481.5,48,1,9,10
