,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.0560999590221,5.6103641282e-31,2627741.5,24h,1.88508234708e-28,0,1
1,0.031623,Alpelisib,cytosolic,0.00793246120634,0.0172550502294,3046839.0,24h,1.0,1,2
2,0.1,Alpelisib,cytosolic,-0.0481475546465,2.90723405562e-20,2488814.5,24h,9.76830642688e-18,2,3
3,0.31623,Alpelisib,cytosolic,0.0134092132473,0.0114587926553,2702567.5,24h,1.0,3,4
4,1.0,Alpelisib,cytosolic,0.0927847814626,5.99485004945e-46,1856457.0,24h,2.01426961661e-43,4,5
5,3.1623,Alpelisib,cytosolic,-0.00712852164047,0.499418653428,2166152.5,24h,1.0,5,6
6,10.0,Alpelisib,cytosolic,-0.0425318628921,1.82244610883e-15,1946955.0,24h,6.12341892568e-13,6,7
7,0.01,Alpelisib,cytosolic,-0.0155778440803,3.51426573178e-12,36114711.5,48h,1.18079328588e-09,7,8
8,0.031623,Alpelisib,cytosolic,0.0108618718947,3.04624132011e-07,34551296.5,48h,0.000102353708356,8,9
9,0.1,Alpelisib,cytosolic,-0.0193397628765,2.17017073911e-17,32447657.5,48h,7.2917736834e-15,9,10
10,0.31623,Alpelisib,cytosolic,0.0130772190212,5.67935423212e-07,26932378.5,48h,0.000190826302199,10,11
11,1.0,Alpelisib,cytosolic,0.0267229632074,4.67499554075e-15,19865798.0,48h,1.57079850169e-12,11,12
12,3.1623,Alpelisib,cytosolic,0.0653907183117,1.72791077752e-61,12322152.5,48h,5.80578021247e-59,12,13
13,10.0,Alpelisib,cytosolic,-0.000684561842735,0.0899171079111,9656011.0,48h,1.0,13,14
14,0.01,Alpelisib,cytosolic,0.0991086276753,0.0,281699516.5,72h,0.0,14,15
15,0.031623,Alpelisib,cytosolic,0.237870513291,0.0,168200488.5,72h,0.0,15,16
16,0.1,Alpelisib,cytosolic,-0.0670515883095,8.0070392365e-250,207437950.5,72h,2.69036518346e-247,16,17
17,0.31623,Alpelisib,cytosolic,-0.0314546977854,1.04597202033e-54,228210137.0,72h,3.5144659883e-52,17,18
18,1.0,Alpelisib,cytosolic,-0.00703519793689,0.00408733276813,223608489.5,72h,1.0,18,19
19,3.1623,Alpelisib,cytosolic,-0.0288056217517,1.86620716844e-32,167763478.0,72h,6.27045608596e-30,19,20
20,10.0,Alpelisib,cytosolic,0.172120125543,2.06041079046e-208,39672538.0,72h,6.92298025596e-206,20,21
21,0.01,Dasatinib,cytosolic,0.00174782350134,0.194009969537,3744682.0,24h,1.0,21,22
22,0.031623,Dasatinib,cytosolic,-0.091492224743,5.17571343636e-80,2989775.0,24h,1.73903971462e-77,22,23
23,0.1,Dasatinib,cytosolic,0.805204947216,1.30070976597e-304,215846.0,24h,4.37038481366e-302,23,24
24,0.31623,Dasatinib,cytosolic,0.469877323015,1.21865101008e-186,503863.5,24h,4.09466739386e-184,24,25
25,1.0,Dasatinib,cytosolic,1.35280009681,7.81439770672e-179,62802.0,24h,2.62563762946e-176,25,26
26,3.1623,Dasatinib,cytosolic,0.991889773851,1.89277107814e-195,79561.5,24h,6.35971082256e-193,26,27
27,10.0,Dasatinib,cytosolic,1.24702545656,2.66182033246e-134,36915.5,24h,8.94371631707e-132,27,28
28,0.01,Dasatinib,cytosolic,0.00661966241314,0.0042582139715,36465835.0,48h,1.0,28,29
29,0.031623,Dasatinib,cytosolic,0.00954991470419,0.0145519063099,24929887.0,48h,1.0,29,30
30,0.1,Dasatinib,cytosolic,0.283044379658,0.0,4301575.5,48h,0.0,30,31
31,0.31623,Dasatinib,cytosolic,0.385552648505,0.0,1896248.5,48h,0.0,31,32
