,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.174949308079,2.40427889904e-22,2738330.5,24,8.08E-20,0,1
1,0.031623,Alpelisib,cytosolic,0.170912022987,7.09721884119e-19,2660266.0,24,2.38E-16,1,2
2,0.1,Alpelisib,cytosolic,-0.107552558283,1.51819737586e-12,2610443.0,24,5.10E-10,2,3
3,0.31623,Alpelisib,cytosolic,0.0540002302847,0.00516565198229,2686909.5,24,1,3,4
4,1.0,Alpelisib,cytosolic,0.0893509265144,0.00106521652609,2426176.0,24,3.58E-01,4,5
5,3.1623,Alpelisib,cytosolic,-0.296588715328,6.04025177745e-40,1555899.0,24,2.03E-37,5,6
6,10.0,Alpelisib,cytosolic,-0.517083349439,4.6878887388e-146,1085921.5,24,1.58E-143,6,7
7,0.01,Alpelisib,cytosolic,0.0433498116143,5.78013398103e-06,37033435.0,48,1.94E-03,7,8
8,0.031623,Alpelisib,cytosolic,0.11477064176,1.42262182329e-27,32464061.5,48,4.78E-25,8,9
9,0.1,Alpelisib,cytosolic,-0.0451471904371,0.00021257331986,34167864.0,48,7.14E-02,9,10
10,0.31623,Alpelisib,cytosolic,0.146613680678,3.19650288779e-34,24679561.0,48,1.07E-31,10,11
11,1.0,Alpelisib,cytosolic,0.205976635039,4.40899781947e-43,18275524.0,48,1.48E-40,11,12
12,3.1623,Alpelisib,cytosolic,-0.358831045642,9.34237115086e-133,10534976.5,48,3.14E-130,12,13
13,10.0,Alpelisib,cytosolic,-0.580077819054,3.70574888069e-174,5041669.0,48,1.25E-171,13,14
14,0.01,Alpelisib,cytosolic,0.146018314573,2.48597284443e-69,331211794.0,72,8.35E-67,14,15
15,0.031623,Alpelisib,cytosolic,0.348839478869,0.0,223398810.0,72,0.00E+00,15,16
16,0.1,Alpelisib,cytosolic,-0.0234053720368,0.0442717225478,260024515.5,72,1,16,17
17,0.31623,Alpelisib,cytosolic,0.11644220584,2.82883971418e-34,233641013.0,72,9.50E-32,17,18
