,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.10848272428,0.000157255548767,3097666.5,24,5.28E-02,0,1
1,0.031623,Alpelisib,cytosolic,-0.108500649976,4.38738869394e-05,2942230.5,24,1.47E-02,1,2
2,0.1,Alpelisib,cytosolic,-0.0770855412351,0.000529374583076,2817755.5,24,1.78E-01,2,3
3,0.31623,Alpelisib,cytosolic,-0.0604797098449,0.0182661990881,2712503.5,24,1,3,4
4,1.0,Alpelisib,cytosolic,0.392514631298,3.94751996356e-59,1754342.0,24,1.33E-56,4,5
5,3.1623,Alpelisib,cytosolic,0.304095653084,1.12160976772e-23,1704786.0,24,3.77E-21,5,6
6,10.0,Alpelisib,cytosolic,-0.00490046263894,0.0174927344108,2224831.5,24,1,6,7
7,0.01,Alpelisib,cytosolic,-0.122771489411,1.85144825626e-21,35154250.0,48,6.22E-19,7,8
8,0.031623,Alpelisib,cytosolic,-0.140589057251,2.84179504718e-33,32054584.0,48,9.55E-31,8,9
9,0.1,Alpelisib,cytosolic,-0.0877942874141,9.92895901544e-10,33295307.0,48,3.34E-07,9,10
10,0.31623,Alpelisib,cytosolic,-0.174418313255,1.68064296083e-37,24492826.5,48,5.65E-35,10,11
11,1.0,Alpelisib,cytosolic,-0.0473788469896,0.327035531498,21812738.5,48,1,11,12
12,3.1623,Alpelisib,cytosolic,0.166833998469,1.59976507733e-16,14187925.5,48,5.38E-14,12,13
13,10.0,Alpelisib,cytosolic,0.172420979493,3.44940959631e-05,9201193.0,48,1.16E-02,13,14
14,0.01,Alpelisib,cytosolic,0.326267509401,1.25238414495e-287,293870664.0,72,4.21E-285,14,15
15,0.031623,Alpelisib,cytosolic,0.0800160329125,2.2803057228e-49,264116522.5,72,7.66E-47,15,16
16,0.1,Alpelisib,cytosolic,-0.316141619802,1.65873130686e-177,216229135.0,72,5.57E-175,16,17
17,0.31623,Alpelisib,cytosolic,-0.0916517703392,9.62548271802e-08,244795152.5,72,3.23E-05,17,18
18,1.0,Alpelisib,cytosolic,-0.0854551958788,0.011829766061,224185716.5,72,1,18,19
19,3.1623,Alpelisib,cytosolic,-0.366924706664,2.25853818309e-154,148194118.5,72,7.59E-152,19,20
20,10.0,Alpelisib,cytosolic,0.328221472113,9.90122107206e-87,47977231.0,72,3.33E-84,20,21
21,0.01,Dasatinib,cytosolic,0.33989874506,2.35067825583e-42,2922859.5,24,7.90E-40,0,1
22,0.031623,Dasatinib,cytosolic,-0.420948689905,7.48756103631e-68,3097232.5,24,2.52E-65,1,2
23,0.1,Dasatinib,cytosolic,1.20617242208,5.68536263466e-207,486691.0,24,1.91E-204,2,3
24,0.31623,Dasatinib,cytosolic,1.4707970528,2.1461220259e-218,407591.5,24,7.21E-216,3,4
25,1.0,Dasatinib,cytosolic,1.70320298409,8.82828533349e-151,128509.0,24,2.97E-148,4,5
26,3.1623,Dasatinib,cytosolic,1.69877721233,3.12519414391e-161,161580.0,24,1.05E-158,5,6
27,10.0,Dasatinib,cytosolic,1.93570619921,1.2527154622e-123,60608.0,24,4.21E-121,6,7
28,0.01,Dasatinib,cytosolic,0.459115451937,4.1531601577e-170,27300497.5,48,1.40E-167,7,8
29,0.031623,Dasatinib,cytosolic,0.681900306832,2.85030013005e-259,15557164.5,48,9.58E-257,8,9
30,0.1,Dasatinib,cytosolic,0.84180255018,3.53469472791e-232,7173464.0,48,1.19E-229,9,10
31,0.31623,Dasatinib,cytosolic,1.54847287344,0.0,1738506.0,48,0.00E+00,10,11
32,1.0,Dasatinib,cytosolic,1.77532985956,0.0,979850.0,48,0.00E+00,11,12
33,3.1623,Dasatinib,cytosolic,1.98115984824,9.93052389708e-189,389709.0,48,3.34E-186,12,13
34,10.0,Dasatinib,cytosolic,1.25898181598,2.38533562162e-23,312724.0,48,8.01E-21,13,14
35,0.01,Dasatinib,cytosolic,0.0474814501655,4.27177115444e-11,206852733.0,72,1.44E-08,14,15
36,0.031623,Dasatinib,cytosolic,0.445188168738,0.0,158382073.0,72,0.00E+00,15,16
37,0.1,Dasatinib,cytosolic,1.30920162089,0.0,26549624.5,72,0.00E+00,16,17
38,0.31623,Dasatinib,cytosolic,1.59430792057,0.0,7093377.5,72,0.00E+00,17,18
39,1.0,Dasatinib,cytosolic,1.9106875441,1.3157484903e-255,5910806.0,72,4.42E-253,18,19
40,3.1623,Dasatinib,cytosolic,-3.81630408888,1.61124764732e-91,6781729.0,72,5.41E-89,19,20
41,10.0,Dasatinib,cytosolic,-3.84138265759,0.0,2115193.0,72,0.00E+00,20,21
42,0.01,Etoposide,cytosolic,0.112716104472,1.19732487659e-15,2811031.5,24,4.02E-13,0,1
43,0.031623,Etoposide,cytosolic,-0.103434920962,2.33124329195e-06,3424696.5,24,7.83E-04,1,2
44,0.1,Etoposide,cytosolic,0.227408102805,4.69653443176e-35,2044861.5,24,1.58E-32,2,3
45,0.31623,Etoposide,cytosolic,-0.122830749266,0.000107050613102,2367052.0,24,3.60E-02,3,4
46,1.0,Etoposide,cytosolic,0.179998362846,1.45053951281e-15,1251743.0,24,4.87E-13,4,5
47,3.1623,Etoposide,cytosolic,-0.0466061098343,0.31171111016,1533893.0,24,1,5,6
48,10.0,Etoposide,cytosolic,-0.335602743869,4.97835152666e-22,855676.0,24,1.67E-19,6,7
49,0.01,Etoposide,cytosolic,0.00476267085575,0.0304442925734,33390978.0,48,1,7,8
50,0.031623,Etoposide,cytosolic,-0.0106451035182,0.485066159647,31992484.0,48,1,8,9
51,0.1,Etoposide,cytosolic,-0.132004593247,3.80831284254e-10,20121739.5,48,1.28E-07,9,10
52,0.31623,Etoposide,cytosolic,-0.194058496846,9.1240373284e-18,14797830.5,48,3.07E-15,10,11
53,1.0,Etoposide,cytosolic,0.321097328614,1.80345642395e-35,4339298.5,48,6.06E-33,11,12
54,3.1623,Etoposide,cytosolic,0.0623235996276,3.01817688547e-06,4254057.5,48,1.01E-03,12,13
55,10.0,Etoposide,cytosolic,-0.346429412339,3.11154982716e-18,3023843.0,48,1.05E-15,13,14
56,0.01,Etoposide,cytosolic,0.0309565971951,2.28775186338e-14,275024317.5,72,7.69E-12,14,15
57,0.031623,Etoposide,cytosolic,-0.12978367804,3.36032387334e-19,246111480.0,72,1.13E-16,15,16
58,0.1,Etoposide,cytosolic,-0.440671530942,1.12734691272e-243,133386153.0,72,3.79E-241,16,17
59,0.31623,Etoposide,cytosolic,-0.287929336717,1.54750542103e-55,68441594.0,72,5.20E-53,17,18
60,1.0,Etoposide,cytosolic,0.404772914835,3.97038246318e-40,15287538.0,72,1.33E-37,18,19
61,3.1623,Etoposide,cytosolic,0.662577932848,9.60147967256e-90,6966346.0,72,3.23E-87,19,20
62,10.0,Etoposide,cytosolic,-3.82261089452,0.0,20668951.5,72,0.00E+00,20,21
63,0.001,Neratinib,cytosolic,0.174374199335,1.12991450386e-20,2966395.5,24,3.80E-18,0,1
64,0.0032,Neratinib,cytosolic,-0.0406041529195,0.237871826219,3913553.0,24,1,1,2
65,0.01,Neratinib,cytosolic,0.242074688886,2.77300485732e-29,1906673.5,24,9.32E-27,2,3
66,0.031623,Neratinib,cytosolic,0.359582842457,5.67320031565e-42,1616383.0,24,1.91E-39,3,4
67,0.1,Neratinib,cytosolic,0.398566889578,1.69803780992e-21,2012997.5,24,5.71E-19,4,5
68,0.31623,Neratinib,cytosolic,0.28265539605,5.85628644279e-28,1756379.0,24,1.97E-25,5,6
69,1.0,Neratinib,cytosolic,0.169945155374,9.35470265017e-10,1786543.0,24,3.14E-07,6,7
70,0.001,Neratinib,cytosolic,0.010155271205,0.162309262523,31736597.0,48,1,7,8
71,0.0032,Neratinib,cytosolic,-0.0966282887574,9.93305968355e-15,40662514.0,48,3.34E-12,8,9
72,0.01,Neratinib,cytosolic,0.00150492490059,0.228862501805,27479626.5,48,1,9,10
73,0.031623,Neratinib,cytosolic,0.276615829462,2.20792840328e-24,17368686.5,48,7.42E-22,10,11
74,0.1,Neratinib,cytosolic,0.418522238889,1.41904247987e-60,9698886.5,48,4.77E-58,11,12
75,0.31623,Neratinib,cytosolic,0.273826949228,1.04089525778e-26,6353167.5,48,3.50E-24,12,13
76,1.0,Neratinib,cytosolic,0.0879966709993,4.26937553116e-06,6461157.5,48,1.43E-03,13,14
77,0.001,Neratinib,cytosolic,-0.0981506815729,2.36735285855e-41,304772920.0,72,7.95E-39,14,15
78,0.0032,Neratinib,cytosolic,0.268588211004,3.57466223577e-213,313653274.0,72,1.20E-210,15,16
79,0.01,Neratinib,cytosolic,0.0119832058555,2.76916865398e-11,271002946.0,72,9.30E-09,16,17
80,0.031623,Neratinib,cytosolic,-0.291507097237,8.22322819915e-102,159463663.0,72,2.76E-99,17,18
81,0.1,Neratinib,cytosolic,0.351567973817,8.69559187106e-131,69388501.5,72,2.92E-128,18,19
