,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,nuclear,-0.199328181423,2.05931295221e-08,2985833.5,24,6.92E-06,0,1
1,0.031623,Alpelisib,nuclear,-0.000154357633091,0.238478278938,3128000.5,24,1,1,2
2,0.1,Alpelisib,nuclear,-0.455058055146,1.21004688762e-42,2237399.5,24,4.07E-40,2,3
3,0.31623,Alpelisib,nuclear,-0.0687332203446,0.387869662397,2810109.0,24,1,3,4
4,1.0,Alpelisib,nuclear,0.804490491888,1.74940532572e-100,1494100.5,24,5.88E-98,4,5
5,3.1623,Alpelisib,nuclear,0.694381666124,8.28794382433e-63,1393307.5,24,2.78E-60,5,6
6,10.0,Alpelisib,nuclear,-0.376592536729,2.69495047484e-22,1861345.0,24,9.06E-20,6,7
7,0.01,Alpelisib,nuclear,0.125968635022,2.18252708484e-16,35642253.5,48,7.33E-14,7,8
8,0.031623,Alpelisib,nuclear,0.139606922996,3.29611009043e-34,31991001.0,48,1.11E-31,8,9
9,0.1,Alpelisib,nuclear,-0.178108374437,3.87702554125e-44,30514921.5,48,1.30E-41,9,10
10,0.31623,Alpelisib,nuclear,0.497566477326,9.36541166482e-192,19299339.0,48,3.15E-189,10,11
11,1.0,Alpelisib,nuclear,1.12916232239,0.0,8417354.5,48,0.00E+00,11,12
12,3.1623,Alpelisib,nuclear,1.24992319069,0.0,6016637.0,48,0.00E+00,12,13
13,10.0,Alpelisib,nuclear,0.702430111153,3.52969452124e-96,6305789.0,48,1.19E-93,13,14
14,0.01,Alpelisib,nuclear,0.164206728575,4.42634985702e-178,309466818.0,72,1.49E-175,14,15
15,0.031623,Alpelisib,nuclear,0.897935608718,0.0,76151133.5,72,0.00E+00,15,16
16,0.1,Alpelisib,nuclear,-0.119306279356,5.96297153345e-97,228574904.0,72,2.00E-94,16,17
17,0.31623,Alpelisib,nuclear,0.157621139452,4.61161410575e-80,222783420.5,72,1.55E-77,17,18
18,1.0,Alpelisib,nuclear,0.432506797895,0.0,144060186.5,72,0.00E+00,18,19
19,3.1623,Alpelisib,nuclear,0.241492702662,8.24313164023e-192,144080657.5,72,2.77E-189,19,20
20,10.0,Alpelisib,nuclear,1.16273189007,0.0,11413044.5,72,0.00E+00,20,21
21,0.01,Dasatinib,nuclear,-0.301192426997,7.01585122118e-16,3284723.5,24,2.36E-13,0,1
22,0.031623,Dasatinib,nuclear,-1.81223266702,3.31576497732e-240,2000529.5,24,1.11E-237,1,2
23,0.1,Dasatinib,nuclear,1.90398475955,3.50979316973e-238,394206.0,24,1.18E-235,2,3
24,0.31623,Dasatinib,nuclear,0.695658185924,1.40934466484e-53,1053286.5,24,4.74E-51,3,4
25,1.0,Dasatinib,nuclear,2.29600033078,3.03117228563e-99,268005.0,24,1.02E-96,4,5
26,3.1623,Dasatinib,nuclear,1.84401716421,4.55253337162e-111,299871.0,24,1.53E-108,5,6
27,10.0,Dasatinib,nuclear,1.07009121497,2.80212290058e-20,397682.0,24,9.42E-18,6,7
28,0.01,Dasatinib,nuclear,0.0771481549339,1.64791493974e-12,34886283.0,48,5.54E-10,7,8
29,0.031623,Dasatinib,nuclear,0.690552582656,6.36149859009e-260,15544482.0,48,2.14E-257,8,9
30,0.1,Dasatinib,nuclear,2.41146257981,0.0,1074809.0,48,0.00E+00,9,10
31,0.31623,Dasatinib,nuclear,2.23512379394,0.0,1561622.5,48,0.00E+00,10,11
32,1.0,Dasatinib,nuclear,3.35998366077,0.0,101780.0,48,0.00E+00,11,12
33,3.1623,Dasatinib,nuclear,3.10718358259,3.42946540475e-223,141332.5,48,1.15E-220,12,13
34,10.0,Dasatinib,nuclear,3.04698841052,1.07544288635e-35,194340.0,48,3.61E-33,13,14
35,0.01,Dasatinib,nuclear,0.0945148346801,6.89446965577e-51,194428047.0,72,2.32E-48,14,15
36,0.031623,Dasatinib,nuclear,0.805008122068,0.0,68206491.5,72,0.00E+00,15,16
37,0.1,Dasatinib,nuclear,1.9485666702,0.0,8619193.5,72,0.00E+00,16,17
38,0.31623,Dasatinib,nuclear,2.21176540689,0.0,2120455.5,72,0.00E+00,17,18
39,1.0,Dasatinib,nuclear,2.66949971329,0.0,4210562.0,72,0.00E+00,18,19
40,3.1623,Dasatinib,nuclear,-1.57065857291,8.99067950014e-44,8998131.5,72,3.02E-41,19,20
41,10.0,Dasatinib,nuclear,-1.62966438563,1.65486541033e-191,5276185.5,72,5.56E-189,20,21
42,0.01,Etoposide,nuclear,0.770706384263,1.26498658019e-146,1757654.0,24,4.25E-144,0,1
43,0.031623,Etoposide,nuclear,0.0848097301095,6.20801808177e-06,3438028.5,24,2.09E-03,1,2
44,0.1,Etoposide,nuclear,1.02633625278,1.16518234275e-149,1323786.5,24,3.92E-147,2,3
45,0.31623,Etoposide,nuclear,-0.209164023062,2.24995071952e-12,2203035.5,24,7.56E-10,3,4
46,1.0,Etoposide,nuclear,1.00359272079,1.6207378071e-115,678083.0,24,5.45E-113,4,5
