,concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue,start,end
0,0.01,Alpelisib,cytosolic,-0.0263133249027,0.0411950383579,3208514.5,24,1,0,1
1,0.031623,Alpelisib,cytosolic,-0.00919073971814,0.496786681074,3168681.0,24,1,1,2
2,0.1,Alpelisib,cytosolic,-0.0447469725889,0.00230252995894,2842454.0,24,7.74E-01,2,3
3,0.31623,Alpelisib,cytosolic,0.00461265095086,0.426247566332,2815456.0,24,1,3,4
4,1.0,Alpelisib,cytosolic,-0.0131045976707,0.0365701575949,2491788.5,24,1,4,5
5,3.1623,Alpelisib,cytosolic,-0.000828820181904,0.0712952900051,2098303.5,24,1,5,6
6,10.0,Alpelisib,cytosolic,0.133483535153,2.14922849711e-07,2082626.5,24,7.22E-05,6,7
7,0.01,Alpelisib,cytosolic,0.321857347081,7.15368793886e-260,25869536.5,48,2.40E-257,7,8
8,0.031623,Alpelisib,cytosolic,0.239031084103,3.49317526877e-138,27387703.0,48,1.17E-135,8,9
9,0.1,Alpelisib,cytosolic,0.221228373844,6.94871939638e-124,27074905.5,48,2.33E-121,9,10
10,0.31623,Alpelisib,cytosolic,0.249584482465,2.95139945696e-118,21289056.5,48,9.92E-116,10,11
11,1.0,Alpelisib,cytosolic,0.491706304893,0.0,11741384.0,48,0.00E+00,11,12
12,3.1623,Alpelisib,cytosolic,0.201766642158,8.47264081996e-39,13111721.5,48,2.85E-36,12,13
13,10.0,Alpelisib,cytosolic,0.605379180122,1.14315662011e-189,4827645.5,48,3.84E-187,13,14
14,0.01,Alpelisib,cytosolic,0.0263440667184,0.000346660318246,359557202.0,72,1.16E-01,14,15
15,0.031623,Alpelisib,cytosolic,0.019895662324,0.000168758356244,283476716.0,72,5.67E-02,15,16
16,0.1,Alpelisib,cytosolic,-0.00714017618768,0.4519241198,262621973.0,72,1,16,17
17,0.31623,Alpelisib,cytosolic,-0.000878684048115,0.324081421654,252424481.0,72,1,17,18
18,1.0,Alpelisib,cytosolic,-0.113526852255,1.28047838791e-69,201022698.5,72,4.30E-67,18,19
19,3.1623,Alpelisib,cytosolic,-0.128185651761,5.22749929185e-74,159264289.0,72,1.76E-71,19,20
20,10.0,Alpelisib,cytosolic,0.0321456838352,2.92838087618e-05,59733003.5,72,9.84E-03,20,21
21,0.01,Dasatinib,cytosolic,0.191182045946,1.92420116673e-32,3038274.0,24,6.47E-30,0,1
22,0.031623,Dasatinib,cytosolic,-0.243391929189,5.90549812235e-49,3286198.5,24,1.98E-46,1,2
23,0.1,Dasatinib,cytosolic,0.645323015982,4.57854227808e-162,633164.5,24,1.54E-159,2,3
24,0.31623,Dasatinib,cytosolic,0.951322611323,1.04690696002e-219,403772.0,24,3.52E-217,3,4
25,1.0,Dasatinib,cytosolic,1.13150966203,2.88565122836e-143,147141.0,24,9.70E-141,4,5
26,3.1623,Dasatinib,cytosolic,0.881306808752,2.47433053475e-127,252085.5,24,8.31E-125,5,6
27,10.0,Dasatinib,cytosolic,1.43777421528,2.1082583683e-129,47667.0,24,7.08E-127,6,7
28,0.01,Dasatinib,cytosolic,0.221004245541,1.52414175032e-92,29999910.5,48,5.12E-90,7,8
29,0.031623,Dasatinib,cytosolic,0.263578385252,1.86063715146e-111,19043104.5,48,6.25E-109,8,9
30,0.1,Dasatinib,cytosolic,1.05485403293,0.0,3243065.5,48,0.00E+00,9,10
31,0.31623,Dasatinib,cytosolic,1.38000580016,0.0,1245949.0,48,0.00E+00,10,11
32,1.0,Dasatinib,cytosolic,1.78792070976,0.0,517367.0,48,0.00E+00,11,12
33,3.1623,Dasatinib,cytosolic,1.87891531073,8.73010776735e-205,271367.5,48,2.93E-202,12,13
34,10.0,Dasatinib,cytosolic,0.892667337427,1.33215070954e-34,203844.0,48,4.48E-32,13,14
35,0.01,Dasatinib,cytosolic,0.134642488487,1.08138843499e-67,190926060.0,72,3.63E-65,14,15
36,0.031623,Dasatinib,cytosolic,0.168498068028,9.05782007212e-140,189746258.5,72,3.04E-137,15,16
37,0.1,Dasatinib,cytosolic,0.708968182895,0.0,52816274.0,72,0.00E+00,16,17
38,0.31623,Dasatinib,cytosolic,1.22894406674,0.0,8262447.0,72,0.00E+00,17,18
39,1.0,Dasatinib,cytosolic,1.53113014097,1.17705388753e-257,5853126.0,72,3.95E-255,18,19
40,3.1623,Dasatinib,cytosolic,-1.35404688414,5.90769190287e-79,7291409.5,72,1.98E-76,19,20
41,10.0,Dasatinib,cytosolic,-1.42527624016,6.31354929902e-281,2904495.5,72,2.12E-278,20,21
42,0.01,Etoposide,cytosolic,-0.104993195466,1.82979069339e-21,2721109.5,24,6.15E-19,0,1
43,0.031623,Etoposide,cytosolic,0.0930732025548,1.02587963629e-09,3334603.0,24,3.45E-07,1,2
44,0.1,Etoposide,cytosolic,0.169435797608,1.87640901466e-23,2170189.5,24,6.30E-21,2,3
45,0.31623,Etoposide,cytosolic,0.36059064035,2.92340577529e-89,1536702.0,24,9.82E-87,3,4
46,1.0,Etoposide,cytosolic,0.247356342154,9.17375241799e-26,1154330.5,24,3.08E-23,4,5
47,3.1623,Etoposide,cytosolic,0.67370764594,1.21237230392e-145,566604.5,24,4.07E-143,5,6
48,10.0,Etoposide,cytosolic,0.727819906842,1.43237106547e-90,507762.5,24,4.81E-88,6,7
49,0.01,Etoposide,cytosolic,0.277708691562,9.78503741987e-187,24009992.5,48,3.29E-184,7,8
50,0.031623,Etoposide,cytosolic,0.153870874848,4.07663008222e-47,27235461.0,48,1.37E-44,8,9
51,0.1,Etoposide,cytosolic,0.824333097787,0.0,7028350.0,48,0.00E+00,9,10
52,0.31623,Etoposide,cytosolic,0.56882213145,0.0,7569411.5,48,0.00E+00,10,11
53,1.0,Etoposide,cytosolic,0.818369566181,4.08053290301e-167,2334761.5,48,1.37E-164,11,12
54,3.1623,Etoposide,cytosolic,0.932684098783,7.46956537227e-163,1583779.0,48,2.51E-160,12,13
55,10.0,Etoposide,cytosolic,0.639145697691,1.05655163211e-85,1854510.0,48,3.55E-83,13,14
56,0.01,Etoposide,cytosolic,-0.0112281578791,0.242460188889,286882533.5,72,1,14,15
57,0.031623,Etoposide,cytosolic,0.144705106262,6.06747118809e-116,223277308.5,72,2.04E-113,15,16
58,0.1,Etoposide,cytosolic,0.310908448805,0.0,124019051.5,72,0.00E+00,16,17
59,0.31623,Etoposide,cytosolic,0.629242755327,0.0,37278763.0,72,0.00E+00,17,18
60,1.0,Etoposide,cytosolic,0.145528161701,5.91493569236e-08,18658370.5,72,1.99E-05,18,19
61,3.1623,Etoposide,cytosolic,0.109502253217,0.000115585434207,12641158.0,72,3.88E-02,19,20
62,10.0,Etoposide,cytosolic,-1.3070146054,0.0,15011184.0,72,0.00E+00,20,21
63,0.001,Neratinib,cytosolic,0.010924484778,0.116947645904,3464647.5,24,1,0,1
64,0.0032,Neratinib,cytosolic,-0.162877939753,4.090781325e-46,3019576.0,24,1.37E-43,1,2
65,0.01,Neratinib,cytosolic,0.0092671781144,0.0232740181769,2364749.5,24,1,2,3
66,0.031623,Neratinib,cytosolic,0.13056296465,1.17319674081e-06,2033921.5,24,3.94E-04,3,4
67,0.1,Neratinib,cytosolic,0.0996170895945,0.000134856759906,2304248.5,24,4.53E-02,4,5
68,0.31623,Neratinib,cytosolic,0.180537018343,3.11658883125e-24,1794992.5,24,1.05E-21,5,6
69,1.0,Neratinib,cytosolic,0.223573943207,1.95661567326e-25,1591014.0,24,6.57E-23,6,7
70,0.001,Neratinib,cytosolic,0.118095361604,1.12616255921e-42,27530682.5,48,3.78E-40,7,8
71,0.0032,Neratinib,cytosolic,0.43278719856,0.0,24872627.5,48,0.00E+00,8,9
72,0.01,Neratinib,cytosolic,0.398499229936,6.80186549022e-264,17127254.5,48,2.29E-261,9,10
73,0.031623,Neratinib,cytosolic,0.45624537025,1.62794102453e-194,12414689.5,48,5.47E-192,10,11
74,0.1,Neratinib,cytosolic,0.369937444369,1.54440106395e-74,9329630.0,48,5.19E-72,11,12
75,0.31623,Neratinib,cytosolic,1.10036435135,0.0,1670345.0,48,0.00E+00,12,13
76,1.0,Neratinib,cytosolic,0.474798653482,1.099410893e-117,3770768.0,48,3.69E-115,13,14
77,0.001,Neratinib,cytosolic,0.00833101145583,0.167565659633,328163327.0,72,1,14,15
78,0.0032,Neratinib,cytosolic,0.137917977105,1.52376976683e-147,324440283.5,72,5.12E-145,15,16
79,0.01,Neratinib,cytosolic,0.125867442217,3.83540923005e-86,248616774.0,72,1.29E-83,16,17
80,0.031623,Neratinib,cytosolic,-0.109240251823,1.8220098311e-48,168702242.5,72,6.12E-46,17,18
81,0.1,Neratinib,cytosolic,0.24277556685,1.26729311694e-111,71113826.5,72,4.26E-109,18,19
82,0.31623,Neratinib,cytosolic,0.639958681503,3.38830721352e-212,13618369.5,72,1.14E-209,19,20
83,1.0,Neratinib,cytosolic,0.13782914273,4.80129680195e-07,11570319.0,72,1.61E-04,20,21
84,0.0001,Paclitaxel,cytosolic,-0.00808459656266,0.38349853493,3266183.0,24,1,0,1
85,0.00032,Paclitaxel,cytosolic,0.0544243676964,0.00300735873631,2946030.0,24,1,1,2
86,0.001,Paclitaxel,cytosolic,0.366862149319,4.39053981849e-78,1784419.0,24,1.48E-75,2,3
87,0.0031623,Paclitaxel,cytosolic,1.30892177037,0.0,509012.5,24,0.00E+00,3,4
88,0.01,Paclitaxel,cytosolic,1.60096273158,3.27935428604e-261,158431.0,24,1.10E-258,4,5
89,0.031623,Paclitaxel,cytosolic,-1.27118218774,1.07809528713e-309,1376757.0,24,3.62E-307,5,6
90,0.1,Paclitaxel,cytosolic,1.85994028527,1.91102019035e-129,50215.0,24,6.42E-127,6,7
91,0.0001,Paclitaxel,cytosolic,0.600907525234,0.0,13728381.0,48,0.00E+00,7,8
92,0.00032,Paclitaxel,cytosolic,-0.0740063005218,4.64613824537e-17,31262030.0,48,1.56E-14,8,9
93,0.001,Paclitaxel,cytosolic,0.331417941408,1.1795266345e-113,16616699.5,48,3.96E-111,9,10
94,0.0031623,Paclitaxel,cytosolic,1.42816560235,0.0,1779420.0,48,0.00E+00,10,11
95,0.01,Paclitaxel,cytosolic,1.98112414247,7.38771137818e-262,363581.0,48,2.48E-259,11,12
96,0.031623,Paclitaxel,cytosolic,1.89151625487,1.25152006057e-85,170444.5,48,4.21E-83,12,13
97,0.1,Paclitaxel,cytosolic,1.97727805191,1.30310298702e-55,60084.0,48,4.38E-53,13,14
98,0.0001,Paclitaxel,cytosolic,0.0526380064929,2.20026770371e-23,298367217.5,72,7.39E-21,14,15
